pair,common_papers
Mang Ye & Wenke Huang 0003,25
Xin Wang 0019 & Wenwu Zhu 0001,22
Xinwang Liu 0002 & Siwei Wang 0001,22
Qianqian Xu 0001 & Qingming Huang,21
Han-Jia Ye & De-Chuan Zhan,20
Cheng Wang 0003 & Chenglu Wen,20
Wenke Huang 0003 & Guancheng Wan,20
Tao Dai 0001 & Shu-Tao Xia,19
Dacheng Tao & Li Shen 0008,19
Mang Ye & Guancheng Wan,18
Jiaqi Wang 0003 & Dahua Lin,18
Xinwang Liu 0002 & En Zhu,17
Tongliang Liu & Bo Han 0003,17
Cheng Tan 0012 & Stan Z. Li,17
Ya Zhang 0002 & Yanfeng Wang 0001,17
Tiejun Huang 0001 & Zhaofei Yu,17
Siwei Wang 0001 & En Zhu,16
Peng Hu 0002 & Xi Peng 0001,16
Yuan Xie 0006 & Yanyun Qu,16
Ke Liang 0006 & Xinwang Liu 0002,16
Qianqian Xu 0001 & Zhiyong Yang 0001,15
Zhangyang Gao & Stan Z. Li,15
Zhangyang Gao & Cheng Tan 0012,15
Ruichu Cai & Zhifeng Hao,15
Qingyun Sun & Xingcheng Fu,15
Ruixuan Li 0001 & Yuhua Li 0003,15
Jiaqi Wang 0003 & Pan Zhang 0001,15
Xu Yang 0021 & Xin Geng 0001,14
Lirong Wu & Stan Z. Li,14
Xiaoshuai Sun & Jiayi Ji,14
Yu Qiao 0001 & Jifeng Dai,14
Xinbo Gao 0001 & Nannan Wang 0001,14
Xinwang Liu 0002 & Suyuan Liu,14
Chengjie Wang 0001 & Jiangning Zhang,14
Ming Li 0065 & Lu Bai 0001,14
Sergey Tulyakov & Aliaksandr Siarohin,14
Yehui Tang & Yunhe Wang 0001,14
Jiaqi Wang 0003 & Xiaoyi Dong,14
Zhiyong Yang 0001 & Qingming Huang,14
Pan Zhang 0001 & Xiaoyi Dong,14
Jianye Hao & Yan Zheng 0002,14
Shu-Tao Xia & Bin Chen 0011,13
Dongxiao He & Di Jin 0001,13
Yufei Huang 0002 & Stan Z. Li,13
Ying Shan & Yixiao Ge,13
Yao Zhao 0001 & Yunchao Wei,13
Pengfei Zhu 0001 & Qinghua Hu,13
Zhou Zhao 0001 & Tao Jin 0004,13
Yixiong Zou & Yuhua Li 0003,13
Yixiong Zou & Ruixuan Li 0001,13
